pr_date,70 years old and above,60-69 years old,40-59 years old,20-39 years old,12-19 years old,0-11 years old
2021-11-26,86,99,332,389,52,105
2021-11-27,110,172,514,649,75,169
2021-11-28,73,62,218,265,27,74
2021-11-29,77,106,312,414,46,115
2021-11-30,65,114,383,471,59,101
2021-12-01,78,122,422,469,52,123
2021-12-02,54,101,328,416,48,104
2021-12-03,43,54,221,304,43,73
2021-12-04,49,67,203,274,39,75
2021-12-05,30,59,197,186,15,36
2021-12-06,36,70,175,265,30,62
2021-12-07,55,56,221,277,30,61
2021-12-08,45,59,211,267,30,67
2021-12-09,33,56,220,262,29,49
2021-12-10,29,36,153,156,20,42
2021-12-11,39,49,158,214,18,52
2021-12-12,25,34,106,130,26,34
2021-12-13,21,34,91,121,21,28
2021-12-14,25,39,115,168,20,33
2021-12-15,26,49,148,167,20,31
2021-12-16,33,22,85,125,15,34
2021-12-17,32,50,103,141,15,28
2021-12-18,18,19,68,88,7,21
2021-12-19,11,14,45,78,15,17
2021-12-20,9,12,40,54,10,16
2021-12-21,9,19,55,110,11,17
2021-12-22,14,32,61,107,8,23
2021-12-23,10,15,72,96,14,19
