pr_date,ratio_comm_cases_pw_over_wb
2021-10-23,1.14
2021-10-24,1.14
2021-10-25,1.18
2021-10-26,1.11
2021-10-27,1.15
2021-10-28,1.13
2021-10-29,1.15
2021-10-30,1.14
2021-10-31,1.12
2021-11-01,1.05
2021-11-02,1.09
2021-11-03,0.96
2021-11-04,0.93
2021-11-05,0.81
2021-11-06,0.83
2021-11-07,0.81
2021-11-08,0.84
2021-11-09,0.82
2021-11-10,0.88
2021-11-11,0.87
2021-11-12,1.04
2021-11-13,0.98
2021-11-14,0.97
2021-11-15,0.94
2021-11-16,0.88
2021-11-17,0.89
2021-11-18,0.9
2021-11-19,0.77
2021-11-20,0.78
2021-11-21,0.81
2021-11-22,0.79
2021-11-23,0.83
2021-11-24,0.75
2021-11-25,0.72
2021-11-26,0.74
2021-11-27,0.75
2021-11-28,0.69
2021-11-29,0.69
2021-11-30,0.66
2021-12-01,0.67
2021-12-02,0.7
2021-12-03,0.71
2021-12-04,0.63
2021-12-05,0.66
2021-12-06,0.64
2021-12-07,0.63
2021-12-08,0.61
2021-12-09,0.58
2021-12-10,0.56
2021-12-11,0.62
2021-12-12,0.61
2021-12-13,0.6
2021-12-14,0.6
2021-12-15,0.62
2021-12-16,0.6
2021-12-17,0.63
2021-12-18,0.58
2021-12-19,0.56
2021-12-20,0.56
2021-12-21,0.56
2021-12-22,0.54
2021-12-23,0.57
